publication_title,pdf_title,pdf_url,publication_url,publication_type,date
Willingness to Pay for Climate Adaptation,Download PDF,https://go.lincolninst.edu/l/153411/2023-09-15/pqr6gj,https://www.lincolninst.edu/publications/working-papers/willingness-pay-climate-adaptation/,Working Papers,"August 2023, English"
50-State Property Tax Comparison Study,Download PDF,https://go.lincolninst.edu/50-state-property-tax-comparison-for-2022.pdf,https://www.lincolninst.edu/publications/other/50-state-property-tax-comparison-study-2022/,Other,"August 2023, English"
50-State Property Tax Comparison Study,Executive Summary,https://www.lincolninst.edu/sites/default/files/pubfiles/50-state-property-tax-comparison-for-2022-exec-summary.pdf,https://www.lincolninst.edu/publications/other/50-state-property-tax-comparison-study-2022/,Other,"August 2023, English"
Measuring Integration of Land and Water Management in Colorado River Basin Communities,Download PDF,https://go.lincolninst.edu/Albrecht_WP23TA1.pdf,https://www.lincolninst.edu/publications/working-papers/measuring-integration-land-water-management-in-colorado-river-basin/,Working Papers,"August 2023, English"
Four New Projects Will Use Scenario Planning to Explore Housing Affordability,"200,000 students",https://knowledgecorridor.org/wp-content/uploads/2021/03/NEKC-Fact-Sheet-Short-Version-2021-03-15.pdf,https://www.lincolninst.edu/publications/articles/2023-08-four-projects-consortium-scenario-planning-rfp-housing-affordability/,Articles,
"Land Policies, Urban Law, and Climate Change",Download PDF,https://go.lincolninst.edu/Maldonado_WP20MM1.pdf,https://www.lincolninst.edu/publications/working-papers/land-policies-urban-law-climate-change-stage-2/,Working Papers,"August 2023, English"
Building a Landscape Conservation Approach,Download PDF,https://go.lincolninst.edu/Winterton_WP23SW1.pdf,https://www.lincolninst.edu/publications/working-papers/building-landscape-conservation-approach/,Working Papers,"August 2023, English"
Anticipated but Unpredictable,Download PDF,https://go.lincolninst.edu/Schwarz_WP23TS1.pdf,https://www.lincolninst.edu/publications/working-papers/anticipated-unpredictable/,Working Papers,"August 2023, English"
"Equidad, capacidad de pago y el nuevo paisaje de préstamos",Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/mensaje-lla2307sp.pdf,https://www.lincolninst.edu/publications/articles/2023-07-mensaje-del-presidente/,Articles,
Estas rutas se hicieron para cargar,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/tecnociudad-lla2307sp.pdf,https://www.lincolninst.edu/publications/articles/2023-07-tecnociudad/,Articles,
Vivienda y esperanza en Cincinnati,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/escritorio-alcalde-lla2307sp.pdf,https://www.lincolninst.edu/publications/articles/2023-07-el-escritorio-del-alcalde/,Articles,
Vivienda/trabajo,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/vivienda-trabajo-lla2307sp.pdf,https://www.lincolninst.edu/publications/articles/2023-07-viviendatrabajo/,Articles,
Vivienda/trabajo,estudio,https://www.nyc.gov/assets/planning/download/pdf/plans-studies/office-reuse-task-force/office-adaptive-reuse-study.pdf,https://www.lincolninst.edu/publications/articles/2023-07-viviendatrabajo/,Articles,
Vivienda/trabajo,aún se espera,https://open.alberta.ca/dataset/45d8dc72-58d7-4b92-b3e6-589cf1869233/resource/c9785433-07f4-4431-be89-7e43696b909f/download/alberta-population-projections-infographic-2022-2046.pdf,https://www.lincolninst.edu/publications/articles/2023-07-viviendatrabajo/,Articles,
Vivienda/trabajo,https://living-future.org/wp-content/uploads/2022/05/The_Greenest_Building.pdf,https://living-future.org/wp-content/uploads/2022/05/The_Greenest_Building.pdf,https://www.lincolninst.edu/publications/articles/2023-07-viviendatrabajo/,Articles,
Vivienda/trabajo,https://knowledge.uli.org/-/media/files/research-reports/2023/behind-the-facade_conversion-report.pdf,https://knowledge.uli.org/-/media/files/research-reports/2023/behind-the-facade_conversion-report.pdf,https://www.lincolninst.edu/publications/articles/2023-07-viviendatrabajo/,Articles,
Desafíos con las redes,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/desafios-con-las-redes-lla2307sp.pdf,https://www.lincolninst.edu/publications/articles/2023-07-desafios-con-las-redes/,Articles,
Desafíos con las redes,calcularon,https://environmenthalfcentury.princeton.edu/sites/g/files/toruqf331/files/2020-12/Princeton_NZA_Interim_Report_15_Dec_2020_FINAL.pdf,https://www.lincolninst.edu/publications/articles/2023-07-desafios-con-las-redes/,Articles,
Desafíos con las redes,https://www.chesapeakeconservancy.org/wp-content/uploads/2020/10/CC-Repo…,https://www.chesapeakeconservancy.org/wp-content/uploads/2020/10/CC-Report-Solar-Siting-Methodology-FINAL.pdf,https://www.lincolninst.edu/publications/articles/2023-07-desafios-con-las-redes/,Articles,
Land LinesJuly 2023,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/land-lines-july-2023.pdf,https://www.lincolninst.edu/publications/issues/land-lines-july-2023/,Issues,July 2023
"Green Infrastructure, Home Values, Land Value Capture, and Equitable Property Assessment",Download PDF,https://go.lincolninst.edu/Cohen_WP23JC1.pdf,https://www.lincolninst.edu/publications/working-papers/green-infrastructure-home-values-land-value-capture-equitable-property/,Working Papers,"July 2023, English"
"Green Infrastructure, Home Values, Land Value Capture, and Equitable Property Assessment",Executive Summary,https://www.lincolninst.edu/sites/default/files/cohen_wp23jc1_executive_summary.pdf,https://www.lincolninst.edu/publications/working-papers/green-infrastructure-home-values-land-value-capture-equitable-property/,Working Papers,"July 2023, English"
"Effects of Flood Hazard on Property Prices in Cape Town, South Africa",Download PDF,https://go.lincolninst.edu/Rabe_WP23CR1.pdf,https://www.lincolninst.edu/publications/working-papers/effects-flood-hazard-property-prices-cape-town-south-africa/,Working Papers,"July 2023, English"
"Effects of Flood Hazard on Property Prices in Cape Town, South Africa",Executive Summary,https://www.lincolninst.edu/sites/default/files/rabe_wp23cr1_executive_summary.pdf,https://www.lincolninst.edu/publications/working-papers/effects-flood-hazard-property-prices-cape-town-south-africa/,Working Papers,"July 2023, English"
"President’s Message: Equity, Affordability, and the New Lending Landscape",Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/presidents-message-lla230701.pdf,https://www.lincolninst.edu/publications/articles/2023-07-presidents-message-equity-affordability-and-the-new-lending-landscape/,Articles,
Finding Common Ground: Land Trusts and CLTs Explore New Collaborations,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/finding-common-ground-lla230705.pdf,https://www.lincolninst.edu/publications/articles/2023-07-finding-common-ground-conservation-land-trusts-affordable-housing-clts-collaboration/,Articles,
Finding Common Ground: Land Trusts and CLTs Explore New Collaborations,guide for collaboration,https://kingstonlandtrust.org/sites/KingstonLandTrust.org/files/inline-files/Affordable%20Eco-Dwelling%20Roadmap%20KLT%20v.5.28.21_0.pdf,https://www.lincolninst.edu/publications/articles/2023-07-finding-common-ground-conservation-land-trusts-affordable-housing-clts-collaboration/,Articles,
En busca de puntos en común,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/en-busca-de-puntos-en-comun-lla2307sp.pdf,https://www.lincolninst.edu/publications/articles/2023-07-en-busca-puntos-en-comun/,Articles,
Greening America’s Smaller Legacy Cities,Download PDF,https://go.lincolninst.edu/l/153411/2023-07-10/pqpgg8/153411/16890021930uc5ITJy/greening_americas_smaller_legacy_cities_pfr_full.pdf,https://www.lincolninst.edu/publications/policy-focus-reports/greening-americas-smaller-legacy-cities/,Policy Focus Reports,"July 2023, English"
The Case for Climate-Informed Zoning,Download PDF,https://go.lincolninst.edu/Burgess_WP23KB1.pdf,https://www.lincolninst.edu/publications/working-papers/case-climate-informed-zoning/,Working Papers,"June 2023, English"
The Case for Climate-Informed Zoning,Executive Summary,https://www.lincolninst.edu/sites/default/files/burgess_wp23kb1_executive_summary.pdf,https://www.lincolninst.edu/publications/working-papers/case-climate-informed-zoning/,Working Papers,"June 2023, English"
The 2022 Census of Community Land Trusts and Shared Equity Entities in the United States,Download PDF,https://go.lincolninst.edu/Wang_WP23RW1.pdf,https://www.lincolninst.edu/publications/working-papers/2022-census-community-land-trusts-shared-equity-entities-in-united/,Working Papers,"June 2023, English"
The 2022 Census of Community Land Trusts and Shared Equity Entities in the United States,Appendix: Survey Questionnaire,https://www.lincolninst.edu/sites/default/files/lilp_clt_census_report_final_appendix_a.pdf,https://www.lincolninst.edu/publications/working-papers/2022-census-community-land-trusts-shared-equity-entities-in-united/,Working Papers,"June 2023, English"
Understanding the Direct and Indirect Health Effects of Urban Greenspaces,Download PDF,https://go.lincolninst.edu/Yang_WP23ZY1.pdf,https://www.lincolninst.edu/publications/working-papers/understanding-direct-indirect-health-effects-urban-greenspaces/,Working Papers,"June 2023, English"
China’s Policy to Limit Use of Public-Private Partnerships by Municipalities to Finance Capital Improvements,Download PDF,https://go.lincolninst.edu/Bland_WP23RB1.pdf,https://www.lincolninst.edu/publications/working-papers/chinas-policy-limit-use-public-private-partnerships-municipalities/,Working Papers,"June 2023, English"
Overview of the National Park System Reform Process in China,Download PDF,https://go.lincolninst.edu/Wang_WP23YW1.pdf,https://www.lincolninst.edu/publications/working-papers/overview-national-park-system-reform-process-in-china/,Working Papers,"June 2023, English"
Grid Locked: How Land Use Battles Are Hindering the Clean Energy Transition,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/grid-locked-lla230706.pdf,https://www.lincolninst.edu/publications/articles/2023-06-how-land-use-battles-are-hindering-clean-energy-transition/,Articles,
The Art of Negotiations,Download PDF,https://go.lincolninst.edu/Cai_WP23NC1.pdf,https://www.lincolninst.edu/publications/working-papers/art-negotiations/,Working Papers,"June 2023, English"
City Tech: These Routes Are Made for Charging,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/city-tech-lla230702.pdf,https://www.lincolninst.edu/publications/articles/2023-05-city-tech-testing-roads-charge-electric-vehicles/,Articles,
Cities in Post-Pandemic China,Download PDF,https://go.lincolninst.edu/Gu_WP23HG1.pdf,https://www.lincolninst.edu/publications/working-papers/cities-in-post-pandemic-china/,Working Papers,"May 2023, English"
Can Removing Development Subsidies Promote Adaptation?,Download PDF,https://go.lincolninst.edu/Druckenmiller_WP23HD1.pdf,https://www.lincolninst.edu/publications/working-papers/can-removing-development-subsidies-promote-adaptation/,Working Papers,"May 2023, English"
Boston’s Beloved Triple-Deckers Are Next-Level Affordable Housing,the New Haven Preservation Trust,https://static1.squarespace.com/static/5b228d0e9772ae38a211e5dc/t/5eb96c9206715c555857211e/1589210268093/Triple+Deckers.pdf,https://www.lincolninst.edu/publications/articles/2023-05-bostons-beloved-triple-deckers-are-next-level-affordable-housing/,Articles,
The Fiscal Impact of Municipal Administrative Center Relocation,Download PDF,https://go.lincolninst.edu/Su_WP23MS1.pdf,https://www.lincolninst.edu/publications/working-papers/fiscal-impact-municipal-administrative-center-relocation/,Working Papers,"May 2023, English"
Office-to-Residential Conversions Are on the Rise—What Does That Mean for Cities?,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/home-work-lla230704.pdf,https://www.lincolninst.edu/publications/articles/2023-05-office-residential-conversions-are-on-the-rise/,Articles,
Five Ways Urban Planners Are Addressing a Legacy of Inequity,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/reckoning-lla2310.pdf,https://www.lincolninst.edu/publications/articles/2023-05-five-ways-urban-planners-addressing-inequity/,Articles,
Preventing Displacement Along Maryland’s New Purple Line Corridor,new CCI case study,https://centerforcommunityinvestment.org/wp-content/uploads/2023/04/Purple-Line.pdf,https://www.lincolninst.edu/publications/articles/2023-05-preventing-displacement-maryland-purple-line-center-for-community-investment/,Articles,
Mayor’s Desk: Housing and Hope in Cincinnati,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/mayors-desk-lla230703.pdf,https://www.lincolninst.edu/publications/articles/2023-05-mayors-desk-cincinnati-aftab-pureval/,Articles,
Research-Informed Documents of Practice,Download PDF,https://go.lincolninst.edu/Lander_WP23PL1.pdf,https://www.lincolninst.edu/publications/working-papers/research-informed-documents-practice/,Working Papers,"May 2023, English"
Research-Informed Documents of Practice,Annotated Bibliography,https://www.lincolninst.edu/sites/default/files/babbittctr_wtrls_annbiblio.pdf,https://www.lincolninst.edu/publications/working-papers/research-informed-documents-practice/,Working Papers,"May 2023, English"
Land LinesApril 2023,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/land-lines-2023-april.pdf,https://www.lincolninst.edu/publications/issues/land-lines-april-2023/,Issues,April 2023
Developing a Quantitative Spatial Economic Model to Evaluate Urban Water Conservation Policies in Denver,Download PDF,https://go.lincolninst.edu/Lopez_WP23JL1.pdf,https://www.lincolninst.edu/publications/working-papers/developing-quantitative-spatial-economic-model-evaluate-urban-water/,Working Papers,"April 2023, English"
New Hampshire: Heavy Property Tax Reliance and Longstanding School Finance Litigation,Download PDF,https://go.lincolninst.edu/Munteanu_WP23SM1.pdf,https://www.lincolninst.edu/publications/working-papers/new-hampshire-heavy-property-tax-reliance-longstanding-school-finance/,Working Papers,"April 2023, English"
How Landscape Conservation Partnerships Are Working to Address Climate Change,Download PDF,https://go.lincolninst.edu/Cook_WP23EC1.pdf,https://www.lincolninst.edu/publications/working-papers/how-landscape-conservation-partnerships-are-working-address-climate/,Working Papers,"April 2023, English"
Mensaje del presidente,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/mensaje-lla2304sp.pdf,https://www.lincolninst.edu/publications/articles/2023-04-mensaje-del-presidente/,Articles,
Tecnociudad,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/technociudad-lla2304sp.pdf,https://www.lincolninst.edu/publications/articles/2023-04-tecnociudad/,Articles,
El escritorio del alcalde,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/escritorio-alcalde-lla2304sp.pdf,https://www.lincolninst.edu/publications/articles/2023-04-el-escritorio-del-alcalde-oh-se-hoon-seul/,Articles,
Futuros Inciertos,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/futuros-inciertos-lla2304sp.pdf,https://www.lincolninst.edu/publications/articles/2023-04-futuros-inciertos-integrar-planificacion-agua-y-suelo-volatilidad-climatica/,Articles,
Futuros Inciertos,Plan Municipal de Eficiencia Hídrica,https://www.evanscolorado.gov/media/Departments/Water_Conservation/evans_mwep_report_2019.pdf,https://www.lincolninst.edu/publications/articles/2023-04-futuros-inciertos-integrar-planificacion-agua-y-suelo-volatilidad-climatica/,Articles,
Futuros Inciertos,plan integral,https://www.evanscolorado.gov/media/Departments/Planning_and_Zoning/Plans/2022%20Master%20Plan.pdf,https://www.lincolninst.edu/publications/articles/2023-04-futuros-inciertos-integrar-planificacion-agua-y-suelo-volatilidad-climatica/,Articles,
La segunda ola,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/la-secunda-ola-lla2304sp.pdf,https://www.lincolninst.edu/publications/articles/2023-04-la-segunda-ola-inundaciones-tras-incendio-forestal/,Articles,
La segunda ola,sigue siendo alto,https://www.fema.gov/sites/default/files/documents/fema_flood-after-fire_factsheet_nov20.pdf,https://www.lincolninst.edu/publications/articles/2023-04-la-segunda-ola-inundaciones-tras-incendio-forestal/,Articles,
La segunda ola,ahorrar seis en los costos generados por desastres futuros,https://www.nibs.org/files/pdfs/ms_v3_federalgrants.pdf,https://www.lincolninst.edu/publications/articles/2023-04-la-segunda-ola-inundaciones-tras-incendio-forestal/,Articles,
La segunda ola,guía de planificación previa a los desastres,https://www.fema.gov/sites/default/files/2020-07/pre-disaster-recovery-planning-guide-local-governments.pdf,https://www.lincolninst.edu/publications/articles/2023-04-la-segunda-ola-inundaciones-tras-incendio-forestal/,Articles,
La segunda ola,www.fema.gov/sites/default/files/2020-07/pre-disaster-recovery-planning-guide-local-governments.pdf,http://www.fema.gov/sites/default/files/2020-07/pre-disaster-recovery-planning-guide-local-governments.pdf,https://www.lincolninst.edu/publications/articles/2023-04-la-segunda-ola-inundaciones-tras-incendio-forestal/,Articles,
La segunda ola,www.fema.gov/sites/default/files/documents/fema_flood-after-fire_factsheet_nov20.pdf,http://www.fema.gov/sites/default/files/documents/fema_flood-after-fire_factsheet_nov20.pdf,https://www.lincolninst.edu/publications/articles/2023-04-la-segunda-ola-inundaciones-tras-incendio-forestal/,Articles,
Cambio estructural,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/cambio-estructural-lla2304sp_0.pdf,https://www.lincolninst.edu/publications/articles/2023-04-cambio-estructural-iniciativa-3c-promueve-capacidad-pago-vivienda/,Articles,
President’s Message: Shall I Compare Thee to a Land Value Increment Tax?,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/presidents-message-lla230401.pdf,https://www.lincolninst.edu/publications/articles/2023-03-presidents-message-defining-land-policy-chatgpt-shakespeare/,Articles,
"The Second Wave: Why Floods Can Follow Wildfires, and How Communities Can Prepare",Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/second-wave-lla230406.pdf,https://www.lincolninst.edu/publications/articles/2023-03-second-wave-why-floods-can-follow-wildfires-how-communities-can-prepare/,Articles,
Mayor’s Desk: A Second Time Around in Seoul,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/mayors-desk-lla230403.pdf,https://www.lincolninst.edu/publications/articles/2023-03-mayors-desk-second-time-around-seoul/,Articles,
Assessing the Feasibility of Comprehensively Evaluating Duty to Serve’s Impacts,Download PDF,https://go.lincolninst.edu/Choi_WP23EC1.pdf,https://www.lincolninst.edu/publications/working-papers/assessing-feasibility-comprehensively-evaluating-duty-serves-impacts/,Working Papers,"March 2023, English"
Uncertain Futures: Integrating Land and Water Planning in an Era of Climate Volatility,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/uncertain-futures-lla230405.pdf,https://www.lincolninst.edu/publications/articles/2023-03-uncertain-futures-integrating-land-water-planning-climate-volatility/,Articles,
City Tech: E-Bikes and Equity,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/city-tech-lla230402.pdf,https://www.lincolninst.edu/publications/articles/2023-03-city-tech-ebikes-equity/,Articles,
China’s Shifting Demographic Geography,Download PDF,https://go.lincolninst.edu/Webster_WP23DW1.pdf,https://www.lincolninst.edu/publications/working-papers/chinas-shifting-demographic-geography/,Working Papers,"February 2023, English"
Structural Change: 3C Initiative Promotes Housing Affordability and Racial Equity in Five U.S. Cities,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/structural-change-lla230404.pdf,https://www.lincolninst.edu/publications/article/2023-02-structural-change-3c-initiative-housing-affordability-racial-equity-cities/,Article,
Getting Zoning for Manufactured Housing Right,Download PDF,https://go.lincolninst.edu/Mandelker_WP23DM1.pdf,https://www.lincolninst.edu/publications/working-papers/getting-zoning-manufactured-housing-right/,Working Papers,"February 2023, English"
Rethinking the Property Tax-School Funding Dilemma,Download PDF,https://go.lincolninst.edu/property-tax-school-funding-dilemma-pb.pdf,https://www.lincolninst.edu/publications/policy-briefs/rethinking-property-tax-school-funding-dilemma/,Policy Briefs,"February 2023, English"
Tecnociudad,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/tecnociudad-lla2301sp-v2.pdf,https://www.lincolninst.edu/publications/articles/2023-01-tecnociudad-los-cimientos-del-futuro/,Articles,
El escritorio del alcalde,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/escritorio-alcalde-lla2301sp.pdf,https://www.lincolninst.edu/publications/articles/2023-01-escritorio-del-alcalde-fomentar-resiliencia-ante-cambio-climatico-sierra-leona/,Articles,
Una apuesta a la capacidad de pago,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/apuesta-capacidad-pago-lla2301sp.pdf,https://www.lincolninst.edu/publications/articles/2023-01-una-apuesta-la-capacidad-pago-ambicioso-experimento-vivienda-cincinnati/,Articles,
El estado de la zonificación local,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/estado-zonificacion-local-lla2301sp.pdf,https://www.lincolninst.edu/publications/articles/2023-01-el-estado-la-zonificacion-local/,Articles,
El estado de la zonificación local,Harvard Joint Center for Housing Studies,https://www.jchs.harvard.edu/sites/default/files/reports/files/Harvard_JCHS_State_Nations_Housing_2022.pdf,https://www.lincolninst.edu/publications/articles/2023-01-el-estado-la-zonificacion-local/,Articles,
Economía del hogar,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/economia-hogar-lla2301sp.pdf,https://www.lincolninst.edu/publications/articles/2023-01-economia-del-hogar-viviendas-prefabricadas-podrian-ayudar-resolver-crisis-capacidad-pago/,Articles,
Economía del hogar,cerca de 106.000 hogares,https://www.manufacturedhousing.org/wp-content/uploads/2020/05/1-UPDATED-MH-Monthly-Shipments-1976-2019.pdf,https://www.lincolninst.edu/publications/articles/2023-01-economia-del-hogar-viviendas-prefabricadas-podrian-ayudar-resolver-crisis-capacidad-pago/,Articles,
Economía del hogar,tres cuartas,https://www.manufacturedhousing.org/wp-content/uploads/2021/05/2021-MHI-Quick-Facts-updated-05-2021.pdf,https://www.lincolninst.edu/publications/articles/2023-01-economia-del-hogar-viviendas-prefabricadas-podrian-ayudar-resolver-crisis-capacidad-pago/,Articles,
Economía del hogar,acuerdo con el Urban Institute,https://www.urban.org/sites/default/files/publication/105406/housing-finance-at-a-glance-a-monthly-chartbook-january-2022.pdf,https://www.lincolninst.edu/publications/articles/2023-01-economia-del-hogar-viviendas-prefabricadas-podrian-ayudar-resolver-crisis-capacidad-pago/,Articles,
Economía del hogar,solo tres de esos préstamos,https://www.ginniemae.gov/newsroom/publications/Documents/title1_manufactured_housing_programs_rfi.pdf,https://www.lincolninst.edu/publications/articles/2023-01-economia-del-hogar-viviendas-prefabricadas-podrian-ayudar-resolver-crisis-capacidad-pago/,Articles,
Economía del hogar,"invirtió cerca de US$ 1,5 mil millones",https://www.fhfa.gov/PolicyProgramsResearch/Programs/Documents/FannieMaeDTSPlan_2018-2021.pdf,https://www.lincolninst.edu/publications/articles/2023-01-economia-del-hogar-viviendas-prefabricadas-podrian-ayudar-resolver-crisis-capacidad-pago/,Articles,
Economía del hogar,https://sf.freddiemac.com/content/_assets/resources/pdf/fact-sheet/manufactured_housing_mythbusters-flyer.pdf,https://sf.freddiemac.com/content/_assets/resources/pdf/fact-sheet/manufactured_housing_mythbusters-flyer.pdf,https://www.lincolninst.edu/publications/articles/2023-01-economia-del-hogar-viviendas-prefabricadas-podrian-ayudar-resolver-crisis-capacidad-pago/,Articles,
Economía del hogar,https://www.manufacturedhousing.org/wp-content/uploads/2022/04/2022-MHI-Quick-Facts-updated-05-2022-2.pdf,https://www.manufacturedhousing.org/wp-content/uploads/2022/04/2022-MHI-Quick-Facts-updated-05-2022-2.pdf,https://www.lincolninst.edu/publications/articles/2023-01-economia-del-hogar-viviendas-prefabricadas-podrian-ayudar-resolver-crisis-capacidad-pago/,Articles,
Reformas de zonificación recientes,se propuso revertir,https://ourneighborhoodvoices.com/wp-content/uploads/2021/11/21-0016A1-as-filed-w_TS.pdf,https://www.lincolninst.edu/publications/articles/2023-01-reformas-zonificacion-recientes/,Articles,
A Natural Experiment Hints at an ‘Elegant Approach’ to Climate Adaptation,"add about 277,000 acres",https://www.fws.gov/sites/default/files/documents/Hurricane-Sandy-CBRS-Remapping-Project-Fact-Sheet-2022.pdf,https://www.lincolninst.edu/publications/articles/2023-01-coastal-barrier-resources-act-elegant-approach-climate-adaptation/,Articles,
Building Collaboration among Community Land Trusts Providing Affordable Housing and Conservation Land Trusts Protecting Land for Ecological Value,Download PDF,https://go.lincolninst.edu/Michels_WP23KM1.pdf,https://www.lincolninst.edu/publications/working-papers/building-collaboration-among-community-land-trusts-providing-affordable/,Working Papers,"January 2023, English"
Lincoln Institute Staff Promote Private and Civic Land Conservation at Historic COP15,article,https://landconservationnetwork.org/sites/default/files/LILP%20at%20COP15%201-11.pdf,https://www.lincolninst.edu/publications/articles/2023-01-lincoln-institute-staff-promote-land-conservation-historic-cop15/,Articles,
Land LinesJanuary 2023,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/land-lines-january-2023.pdf,https://www.lincolninst.edu/publications/issues/land-lines-january-2023/,Issues,January 2023
Urban Planning and Land Value Capture,Download PDF,https://go.lincolninst.edu/Caldas_WP23MC1.pdf,https://www.lincolninst.edu/publications/working-papers/urban-planning-land-value-capture/,Working Papers,"January 2023, English"
President’s Message: Make Way for Mixed Use,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/presidents-message-lla230101.pdf,https://www.lincolninst.edu/publications/articles/2023-01-presidents-message-make-way-for-mixed-use/,Articles,
President’s Message: Make Way for Mixed Use,ICSC,https://www.icsc.com/uploads/research/general/US_CENTER_CLASSIFICATION.pdf,https://www.lincolninst.edu/publications/articles/2023-01-presidents-message-make-way-for-mixed-use/,Articles,
Mensaje del presidente,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/mensaje-lla2301sp.pdf,https://www.lincolninst.edu/publications/articles/2023-01-mensaje-del-presidente-dar-paso-al-uso-mixto/,Articles,
A Bid for Affordability: Notes from an Ambitious Housing Experiment in Cincinnati,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/bid-for-affordability-lla230104.pdf,https://www.lincolninst.edu/publications/articles/2022-12-bid-for-affordability-ambitious-housing-experiment-in-cincinnati/,Articles,
The State of Local Zoning: Reforming a Century-Old Approach to Land Use,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/state-of-local-zoning-lla230105.pdf,https://www.lincolninst.edu/publications/articles/2022-12-state-local-zoning-reform/,Articles,
From State Capitols to City Halls,Download PDF,https://go.lincolninst.edu/from-state-capitols-city-halls-pb.pdf,https://www.lincolninst.edu/publications/policy-briefs/state-capitols-city-halls/,Policy Briefs,"December 2022, English"
Home Economics: How Manufactured Housing Can Help Solve the National Housing Affordability Crisis,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/home-economics-lla230106.pdf,https://www.lincolninst.edu/publications/articles/2022-12-manufactured-housing-help-solve-housing-crisis/,Articles,
City Tech: Is Wood the Way of the Future?,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/city-tech-lla230102-v3.pdf,https://www.lincolninst.edu/publications/articles/city-tech-wood-way-future/,Articles,
A Series of Articles about the MBTA Communities Zoning Law,Download PDF,https://go.lincolninst.edu/Dain_WP22AD1.pdf,https://www.lincolninst.edu/publications/working-papers/series-articles-about-mbta-communities-zoning-law/,Working Papers,"December 2022, English"
Water-Resilient Agriculture,Download PDF,https://go.lincolninst.edu/babbitt-water-resilient-agriculture-fnl.pdf,https://www.lincolninst.edu/publications/other/water-resilient-agriculture/,Other,"December 2022, English"
Infrastructure Policy Perspectives,Download PDF,https://go.lincolninst.edu/Gomez-Ibanez_WP22JG1.pdf,https://www.lincolninst.edu/publications/working-papers/infrastructure-policy-perspectives/,Working Papers,"December 2022, English"
This Simple Policy Tool Can Make Property Taxes Fairer and Ease Homeowner Hardship,third quarter of 2019,https://www.nar.realtor/sites/default/files/documents/metro-home-prices-q2-2020-single-family-2020-08-12.pdf,https://www.lincolninst.edu/publications/articles/simple-policy-tool-can-make-property-taxes-fairer-ease-homeowner-hardship/,Articles,
This Simple Policy Tool Can Make Property Taxes Fairer and Ease Homeowner Hardship,the same period this year,https://cdn.nar.realtor/sites/default/files/documents/metro-home-prices-q3-2022-single-family-2022-11-10.pdf,https://www.lincolninst.edu/publications/articles/simple-policy-tool-can-make-property-taxes-fairer-ease-homeowner-hardship/,Articles,
Urban Growth Boundaries for Watershed Health,Download PDF,https://go.lincolninst.edu/Gloss_WP22LG1.pdf,https://www.lincolninst.edu/publications/working-papers/urban-growth-boundaries-watershed-health/,Working Papers,"November 2022, English"
Rethinking the Property Tax-School Funding Dilemma,Download PDF,https://go.lincolninst.edu/rethinking-property-tax-school-funding-dilemma-pfr.pdf,https://www.lincolninst.edu/publications/policy-focus-reports/rethinking-property-tax-school-funding-dilemma/,Policy Focus Reports,"November 2022, English"
Mayor’s Desk: Cultivating Climate Resilience in Sierra Leone,Download PDF,https://www.lincolninst.edu/app/uploads/2024/04/mayors-desk-lla230103.pdf,https://www.lincolninst.edu/publications/articles/2022-11-mayors-desk-climate-resilience-sierra-leone/,Articles,
